n_estimators,max_depth,min_samples_split,accuracy
50,10,2,0.9666666666666667
50,10,5,0.9722222222222222
50,10,10,0.9611111111111111
50,20,2,0.9722222222222222
50,20,5,0.9777777777777777
50,20,10,0.9694444444444444
50,30,2,0.9722222222222222
50,30,5,0.9777777777777777
50,30,10,0.9694444444444444
100,10,2,0.9722222222222222
100,10,5,0.9777777777777777
100,10,10,0.975
100,20,2,0.9722222222222222
100,20,5,0.9833333333333333
100,20,10,0.9666666666666667
100,30,2,0.9722222222222222
100,30,5,0.9833333333333333
100,30,10,0.9666666666666667
150,10,2,0.975
150,10,5,0.975
150,10,10,0.9694444444444444
150,20,2,0.9694444444444444
150,20,5,0.9805555555555555
150,20,10,0.9666666666666667
150,30,2,0.9694444444444444
150,30,5,0.9805555555555555
150,30,10,0.9666666666666667
200,10,2,0.9722222222222222
200,10,5,0.975
200,10,10,0.9694444444444444
200,20,2,0.9694444444444444
200,20,5,0.9805555555555555
200,20,10,0.9666666666666667
200,30,2,0.9694444444444444
200,30,5,0.9805555555555555
200,30,10,0.9666666666666667
